Study,study_long,Chemical,eec,eec_source,Class,Pathway,Species,Type,Response,parameter
Bajet2012,Bajet et al 2012,Lambda-cyhalothrin,1.77,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,Deltamethrin,4.52,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,Cypermethrin,5.9,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,Profenofos,15.38,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,Carbaryl,33.5,https://doi.org/10.1645/GE-2078.1,Insecticide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,"2,4-D",762,https://archive.epa.gov/pesticides/reregistration/web/pdf/24d_red.pdf,Herbicide,top-down,Macrobrachium lar,,mortality,muPq
Bajet2012,Bajet et al 2012,Butachlor,,,Herbicide,top-down,Macrobrachium lar,,mortality,muPq
Bakry2011,Bakry et al 2011,Malathion,18.4,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Helisoma duryi,,mortality,muNq
Bakry2011,Bakry et al 2011,Deltamethrin,4.52,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,direct snail,Helisoma duryi,,mortality,muNq
Bakry2012,Bakry et al 2012,Atrazine,102,https://doi:10.1038/s41467-018-03189-w,Herbicide,direct snail,Biomphalaria alexandrina,,mortality,muNq
Bakry2012,Bakry et al 2012,Glyphosate,3700,https://doi.org/10.1645/GE-2078.1,Herbicide,direct snail,Biomphalaria alexandrina,,mortality,muNq
Bakry2016,Bakry et al 2016,Paraquat,4.8,https://archive.epa.gov/pesticides/reregistration/web/pdf/0262red.pdf,Herbicide,direct snail,Lymnaea natalensis,,mortality,muNq
Barbieri2016,Barbieri et al 2016,Carbofuran,,,Insecticide,top-down,Macrobrachium olfersii,,mortality,muPq
Baxter_Rohr2011,Baxter et al 2011,Atrazine,102,https://doi:10.1038/s41467-018-03189-w,Herbicide,bottom-up,Physella spp,,reproduction,fNq
Benli2007,Benli et al 2007,"2,4-D",762,https://archive.epa.gov/pesticides/reregistration/web/pdf/24d_red.pdf,Herbicide,top-down,Astacus leptodactylus,,mortality,muPq
Bhavan2010,Bhavan etl 2010,Carbaryl,33.5,https://doi.org/10.1645/GE-2078.1,Insecticide,top-down,Macrobrachium malcomonii,,attack rate,psiq
Browne&Moore2014,Browne & Moore 2014,"2,4-D",762,https://archive.epa.gov/pesticides/reregistration/web/pdf/24d_red.pdf,Herbicide,top-down,Orconectes rusticus,,attack rate,psiq
Fornstrom1997,Fornstrom et al 1997,Terbufos,36.6,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,top-down,Procambarus clarkii,,mortality,muPq
Ghaffar2016,Abdel-Ghaffar et al 2016,Butralin,16.89,Epa report,Herbicide,direct larvae,Schistosoma mansoni,cercariae,mortality,piC
Ghaffar2016,Abdel-Ghaffar et al 2016,Glyphosate,3700,https://doi.org/10.1645/GE-2078.1,Herbicide,direct larvae,Schistosoma mansoni,cercariae,mortality,piC
Ghaffar2016,Abdel-Ghaffar et al 2016,Pendimethalin,31,https://archive.epa.gov/pesticides/reregistration/web/pdf/0187red.pdf,Herbicide,direct larvae,Schistosoma mansoni,cercariae,mortality,piC
Ghaffar2016,Abdel-Ghaffar et al 2016,Butralin,16.89,Epa report,Herbicide,direct larvae,Schistosoma mansoni,miracidia,mortality,piM
Ghaffar2016,Abdel-Ghaffar et al 2016,Glyphosate,3700,https://doi.org/10.1645/GE-2078.1,Herbicide,direct larvae,Schistosoma mansoni,miracidia,mortality,piM
Ghaffar2016,Abdel-Ghaffar et al 2016,Pendimethalin,31,https://archive.epa.gov/pesticides/reregistration/web/pdf/0187red.pdf,Herbicide,direct larvae,Schistosoma mansoni,miracidia,mortality,piM
Ghaffar2016,Abdel-Ghaffar et al 2016,Butralin,16.89,Epa report,Herbicide,direct snail,Biomphalaria alexandrina,,mortality,muNq
Ghaffar2016,Abdel-Ghaffar et al 2016,Glyphosate,3700,https://doi.org/10.1645/GE-2078.1,Herbicide,direct snail,Biomphalaria alexandrina,,mortality,muNq
Ghaffar2016,Abdel-Ghaffar et al 2016,Pendimethalin,31,https://archive.epa.gov/pesticides/reregistration/web/pdf/0187red.pdf,Herbicide,direct snail,Biomphalaria alexandrina,,mortality,muNq
